22114109,2025-03-21 15:26:13,IN
22114044,2025-03-21 15:26:30,IN
22114109,2025-03-21 15:33:21,IN
22114105,2025-03-21 15:33:24,IN
22114044,2025-03-21 15:34:19,IN
22114109,2025-03-21 15:34:22,OUT
22114105,2025-03-21 15:34:59,IN
22114044,2025-03-21 15:35:05,IN
22114109,2025-03-21 15:35:13,IN
22114109,2025-03-21 15:37:19,IN
22114109,2025-03-21 15:37:56,IN
22114044,2025-03-21 15:38:05,IN
22114105,2025-03-21 15:38:09,IN
22114105,2025-03-21 15:42:47,IN
22114109,2025-03-21 15:45:06,IN
22114044,2025-03-21 15:45:46,IN
22114105,2025-03-21 15:45:51,OUT
22114105,2025-03-21 15:53:04,IN
22114109,2025-03-21 15:53:11,IN
22114082,2025-03-21 15:54:14,IN
22114041,2025-03-21 15:54:20,IN
22114044,2025-03-21 15:54:40,IN
22114109,2025-03-21 15:54:54,IN
22114105,2025-03-21 15:55:54,IN
22114109,2025-03-21 15:56:19,OUT
22114109,2025-03-22 19:20:43,IN
22114109,2025-03-22 19:21:48,OUT
22114109,2025-03-22 19:22:49,IN
22114109,2025-03-24 00:25:14,IN
22114109,2025-03-24 00:25:45,IN
22114109,2025-03-24 01:31:34,IN
